word	token.freq
nqakusaj	67
mayo	67
rukaj	67
rukanoxik	67
yeqab'än	66
nukanoj	66
awach'alal	66
ruchojmirisaxik	66
nuk'samaj	66
sara	66
iii	66
kaxlani'	66
jalajoj	66
xjikib'äx	66
chikopil	66
ruya'	66
äk'	66
niqa	65
nte'	65
faraón	65
q'utu'n	65
naqasaj	65
semana	65
cid	65
nkitïj	65
najowäx	64
nk'utüx	64
rajpopi'	64
rutz'ib'axik	64
wa'	64
qamolojri'ïl	64
judíos	64
xtzolin	64
q'än	64
nk'ulwachitäj	64
nutaqej	63
käq	63
q'axomäl	63
etaman	63
ruk	63
sábado	63
b'alam	63
kab'lajuj	63
xkek'astäj	63
nukuqub'a'	63
kiway	63
nqakuqub'a'	63
si'	63
retamab'al	63
ruq'alajrisanel	63
lunes	63
canaán	62
ntzolin	62
xuchäp	62
champomal	62
ka	62
escuela	62
tz	62
jueves	62
chanpomanel	62
yakb'äl	62
mayab'	62
tuya'	62
nik'oje'	62
na'	62
abril	62
yatzijon	62
nimaq'a'	62
cruz	61
tz'i'	61
qäs	61
atowab'äl	61
elías	61
köj	61
ch'umil	61
noviembre	61
wujil	61
ri'j	61
yab'e	60
yojkäm	60
yetzijon	60
ewäl	60
niqab'än	60
b'ix	60
kaxa	60
jarupe	60
xtib'an	60
yawa'	60
xrak'axaj	60
nikajo'	60
kite'	60
taqoxel	60
nakusaj	60
nkik'ül	60
xya'on	60
saq'ij	60
ajilab'äl	60
tz'ib'	60
eclesiastés	59
fuente	59
wakamin	59
yekikot	59
kiq'alajrisaxik	59
deuteronomio	59
kichajin	59
antonio	59
nkik'äm	59
millón	59
ch'uti	59
kikojöl	59
xeb'an	59
xjote'	58
tak'utuj	58
rumolik	58
kib'anik	58
b'anoj	58
ruchojmil	58
nota	58
alajil	58
rujolom	58
nkinimaj	58
tib'an	57
enero	57
isaac	57
ch'utitanaj	57
xepe	57
nuk'ül	57
niqaya'	57
con	57
martes	57
rachijil	57
asamaj	57
xetzolin	57
xelesäx	57
hernández	57
nuchajij	56
peja'	56
israel	56
sep	56
xtk'is	56
le	56
tew	56
xqatz'ët	56
mama'aj	56
tob'äl	56
nkik'waj	56
tir	56
xtiya'	56
kïk'	56
chay	55
kaqän	55
b'is	55
wakami'	55
xeb'anatäj	55
kiwuj	55
k'as	55
chawa	55
majün	55
runimilen	55
noqa	55
paxil	55
rub'elej	55
ruq'	55
lázaro	55
yala	55
pwes	54
tz'olojya'	54
ninb'ij	54
xkik'utuj	54
lo	54
rey	54
ruq'atik	54
xtapon	54
k'exelom	54
sololá	54
xkitzijoj	54
ruk'iyirisaxik	54
miércoles	54
retamaxik	54
sutz'	54
nujäl	54
nimatijob'äl	54
rusaqil	54
tz'ib'an	54
tonses	53
nelesäx	53
siwan	53
jäl	53
xerub'än	53
ximoj	53
wal	53
nib'e	53
sal	53
ch'akoj	53
espíritu	53
runik'ajal	53
chara'	53
nq'at	53
xtzalq'omin	52
rutz'aqat	52
ruk'amöl	52
xeb'e'apon	52
t'as	52
nuqasaj	52
wa'im	52
xtub'ij	52
ro'	52
kik'wan	52
costumbre	52
qachib'il	52
yeb'anon	52
b'eleje'	52
nu	52
motzaj	52
se	52
chajinïk	52
nqatijoj	52
jare'	52
marzo	52
junamil	52
cuarto	52
utiw	52
xto'on	51
rulaj	51
yojb'e	51
mesías	51
tzuntzun	51
nuchäp	51
chunaqaj	51
ik'owinäq	51
hech	51
xkeb'anatäj	51
qab'anob'al	51
nimawinäq	51
ajq'ija'	51
co	51
winaqirem	51
cor	51
después	51
tz'	51
rumi'al	51
kik'ojlib'al	51
rere'	51
eliseo	51
xkixib'ij	51
xqetamaj	51
kitijonik	51
nuk'ulem	51
etz'anem	51
yojto'on	50
yeb'in	50
ruway	50
jari'	50
tz'eteb'äl	50
xajan	50
nunimaj	50
pues	50
rutaluxik	50
nrelesaj	50
tabernáculo	50
ajpop	50
clk	50
niq'ax	50
yib'e	50
k'ajola'	50
kib'ey	50
aldea	50
ï	49
nusamaj	49
wawa'	49
räx	49
xtq'aton	49
kich'akul	49
ye'okisäx	49
xab'än	49
rutz'ukik	49
kachoch	49
reproducir	49
nirajo'	49
kab'raqän	49
tyox	49
ruq'anal	49
majub'ey	49
etal	49
xkik'waj	48
ruk'utik	48
ijul	48
pache'	48
qaway	48
yerajo'	48
anchike	48
filipenses	48
nisamajix	48
colosenses	48
xtitikïr	48
rafael	48
xan	48
nuq'ät	48
yeqato'	48
ak'ala'	48
juwinäq	48
nutata'	48
yeya'on	48
nutïj	47
koyob'en	47
b'in	47
ab'ya	47
ruto'on	47
xinb'ij	47
kichajixik	47
ya'om	47
andrés	47
xuto'	47
tqab'ana'	47
kinuk'un	47
ketal	47
to'	47
nkikot	47
siglo	47
xara	47
rayb'äl	47
kachib'il	47
b'anayon	46
nkikusaj	46
ruk'ojlemal	46
chawij	46
b'ojo'y	46
awäj	46
tuj	46
täp	46
kak'al	46
tojb'anem	46
nute'	46
k'oj	46
sipojïk	46
iximche'	46
pro	46
tz'umal	46
to'onel	46
ate'	46
kimak	46
k'atän	46
runimanela'	46
luna	46
etamanela'	46
f	46
febrero	46
tatz'ib'aj	46
aq'omanela'	46
años	46
aarón	45
awochoch	45
rukuqub'ab'äl	45
cha'oj	45
xusüj	45
ruk'isb'äl	45
rutikirb'al	45
ye'aläx	45
xtqïl	45
pobre	45
nretamaj	45
xinok	45
ib	45
poqon	45
xunimaj	45
tz'ukun	45
tz'etoj	45
rujuk'al	45
nene'	45
xkinimaj	45
org	45
toj	45
jantäq	45
kikuqub'ab'äl	44
kaq'iq'	44
jub'ey	44
xk'ulwachitäj	44
juku'	44
elesan	44
kik'amon	44
ija'tz	44
junio	44
ryïn	44
aq	44
modo	44
popol	44
xtok	44
b'anöy	44
jul	44
jantape	44
yawa'i'	44
k'ayb'äl	44
kipwaq	44
templo	44
achamaq'	44
xsamäj	44
aq'omanïk	44
yekito'	44
natzijoj	44
kajulew	44
qaq'ij	43
roj	43
kajil	43
kamisanïk	43
nk'ïy	43
ajpu'	43
ne'y	43
awäch	43
b'anatajnäq	43
'o	43
nehemías	43
niq'alajin	43
xekib'än	43
runik'oxik	43
nukusaj	43
taqanib'äl	43
rub'eyomal	43
njikib'äx	43
chaq	42
ruwaq	42
nkitijoj	42
anin	42
nib'ix	42
chuluj	42
palow	42
yojkikot	42
ruk'amom	42
ya'oj	42
xtchup	42
releb'al	42
tib'ana'	42
xtb'an	42
nkikanoj	42
ntane'	42
k'	42
ruwuq	42
atux	42
tb'e	42
qochoch	42
rejqalen	42
profeta	42
xib'a	42
nqamatyoxij	42
xtawïl	42
xerutäq	42
maya	42
unidos	42
q'ijul	42
yab'a	41
yeq'ax	41
sachoj	41
chij	41
tojon	41
