t,cond
34.4606600790293,Scrambled
32.9137876703462,Scrambled
32.643383751647,Scrambled
34.5836509009059,Scrambled
35.7060607096989,Scrambled
34.2129937740595,Scrambled
34.2377758966879,Scrambled
34.2945961243763,Scrambled
33.186925190322,Scrambled
33.5910929089357,Scrambled
33.5398412867246,Scrambled
33.9151407342359,Scrambled
33.0416845113656,Scrambled
33.3334361513031,Scrambled
33.4832477681235,Scrambled
34.2753811222022,Scrambled
34.0277155575382,Scrambled
34.0490911474344,Scrambled
33.0218131953039,Scrambled
34.0921845772452,Scrambled
33.4350304906357,Scrambled
33.3646808082209,Scrambled
32.829618781289,Scrambled
34.7122787553327,Scrambled
33.2657498803202,Scrambled
33.9257591338823,Scrambled
32.7582958418479,Scrambled
33.8553532798396,Scrambled
33.4270848357049,Scrambled
33.4747579680215,Scrambled
34.6479253049264,Scrambled
34.0791994445039,Scrambled
32.7341629788081,Scrambled
34.3584229031987,Scrambled
34.1853914958841,Scrambled
33.7904401223684,Scrambled
33.5618110151316,Scrambled
33.8359767642262,Scrambled
34.1881037571977,Scrambled
32.9322695375606,Scrambled
33.9990163424423,Scrambled
32.8397941059453,Scrambled
33.8734315122188,Scrambled
33.6535828070683,Scrambled
34.1066351517267,Scrambled
33.7434809028121,Scrambled
33.8654239294884,Scrambled
33.6507515956145,Scrambled
33.7565646428855,Scrambled
33.8708766169194,Scrambled
33.1836568562218,Scrambled
33.8719751173262,Scrambled
33.425907911882,Scrambled
35.0638438478243,Scrambled
33.4974609457354,Scrambled
33.197327724317,Scrambled
32.9582303911515,Scrambled
33.4651827981821,Scrambled
34.7423033011362,Scrambled
33.0195706058418,Scrambled
33.7336777514156,Scrambled
33.6472224120569,Scrambled
34.3742631227471,Scrambled
34.6451747006661,Scrambled
33.8774381156401,Scrambled
34.4232588565085,Scrambled
33.251484485847,Scrambled
33.4646900770509,Scrambled
34.5365674256071,Scrambled
33.380418990267,Scrambled
34.1300505114802,Scrambled
33.2294179845753,Scrambled
32.1768216437512,Scrambled
35.2427661388634,Scrambled
33.0665484955866,Scrambled
34.43624196139,Scrambled
33.7141044722456,Scrambled
34.9220976040197,Scrambled
33.5992905970715,Scrambled
33.3891049793192,Scrambled
34.4953893613109,Scrambled
33.1545619880336,Scrambled
34.2854128157582,Scrambled
33.9055850692269,Scrambled
33.3451719518726,Scrambled
33.4630833608962,Scrambled
34.4776437398073,Scrambled
34.7425960634729,Scrambled
33.4570152758794,Scrambled
35.2004915062358,Scrambled
34.1440884367715,Scrambled
33.7325937444959,Scrambled
33.9676629192195,Scrambled
32.8371110615039,Scrambled
33.2183239624503,Scrambled
32.8914473646795,Scrambled
33.7630772428291,Scrambled
33.9586749681554,Scrambled
35.0285769896731,Scrambled
34.3847473145778,Scrambled
33.6802636875255,Scrambled
34.2202077622271,Scrambled
32.8631420963879,Scrambled
34.2544576863396,Scrambled
33.2249977182366,Scrambled
34.2355138485589,Scrambled
32.5643976575339,Scrambled
32.8763627341907,Scrambled
34.7108023093609,Scrambled
33.2520947334258,Scrambled
33.8175149631899,Scrambled
33.3764799215513,Scrambled
33.4920974821688,Scrambled
33.8755604785473,Scrambled
33.593119111503,Scrambled
33.7143397602454,Scrambled
34.5509361118811,Scrambled
34.8273990941892,Scrambled
34.0654556110314,Scrambled
32.6811482743191,Scrambled
34.9144540133214,Scrambled
34.3609757990371,Scrambled
33.8840806131764,Scrambled
33.9458812278141,Scrambled
34.9995657569549,Scrambled
33.7065738111157,Scrambled
34.6712053844234,Scrambled
33.066063432907,Scrambled
34.0409198898885,Scrambled
34.1885432935845,Scrambled
34.7152355438075,Scrambled
34.8585942008129,Scrambled
32.774448045873,Scrambled
34.3481851142441,Scrambled
35.1193742944335,Scrambled
34.1271337210079,Scrambled
32.7760315213548,Scrambled
33.7735519607992,Scrambled
35.139830385473,Scrambled
34.3291974651464,Scrambled
33.6741806625118,Scrambled
33.5813265068423,Scrambled
33.7449284598815,Scrambled
34.2962828455425,Scrambled
34.6829630121476,Scrambled
34.0015100695128,Scrambled
33.925439228515,Scrambled
34.1983397996271,Scrambled
33.1538487935673,Scrambled
34.9256960630378,Scrambled
33.5447270593234,Scrambled
33.9166720905828,Scrambled
33.3169245539847,Scrambled
33.5357133217676,Scrambled
33.8507782154195,Scrambled
33.4142288083034,Scrambled
33.4763907938747,Scrambled
33.8501656953079,Scrambled
34.080987258931,Scrambled
34.7403212560046,Scrambled
33.0455935499535,Scrambled
35.1469028573677,Scrambled
34.0093957494972,Scrambled
33.7944287531584,Scrambled
32.8227295821263,Scrambled
